1 1 0 1 0 0 0 3000 1 15 15 0
1 2 0 1 0 0 0 3000 2 14 14 15
1 3 0 1 0 0 0 3000 3 1 1 14
1 4 0 1 0 0 0 3000 2 12 12 1
1 5 0 1 0 0 0 3000 3 6 6 12
1 6 1 1 1 0 0 676 1 12 12 6
1 7 0 1 0 0 0 3000 2 15 15 12
1 8 1 1 1 0 0 420 1 12 12 15
1 9 0 1 0 0 0 3000 3 7 7 12
1 10 0 1 0 0 0 3000 2 8 8 7
1 11 0 0 0 0 1 689 2 12 12 8
1 12 0 1 0 0 0 3000 2 2 2 12
1 13 0 0 0 0 1 738 2 8 8 2
1 14 0 1 0 0 0 3000 2 1 1 8
1 15 1 1 1 0 0 629 1 8 8 1
1 16 0 1 0 0 0 3000 3 14 14 8
1 17 1 1 1 0 0 408 1 8 8 14
1 18 0 1 0 0 0 3000 2 15 15 8
1 19 1 0 0 1 0 3000 1 8 8 15
1 20 0 0 0 0 1 368 2 14 14 8
1 21 0 1 0 0 0 3000 2 5 5 14
1 22 0 1 0 0 0 3000 2 15 15 5
1 23 0 1 0 0 0 3000 3 12 12 15
1 24 0 0 0 0 1 421 2 5 5 12
1 25 1 1 1 0 0 390 1 12 12 5
2 1 0 1 0 0 0 3000 1 4 4 12
2 2 0 1 0 0 0 3000 1 1 1 4
2 3 1 1 1 0 0 451 1 4 4 1
2 4 1 1 1 0 0 326 1 1 1 4
2 5 1 1 1 0 0 383 1 4 4 1
2 6 1 1 1 0 0 384 1 1 1 4
2 7 0 1 0 0 0 3000 3 9 9 1
2 8 1 1 1 0 0 408 1 1 1 9
2 9 0 1 0 0 0 3000 3 11 11 1
2 10 1 0 0 1 0 3000 1 1 1 11
2 11 1 1 1 0 0 348 1 11 11 1
2 12 0 1 0 0 0 3000 2 2 2 11
2 13 0 1 0 0 0 3000 3 15 15 2
2 14 0 1 0 0 0 3000 2 7 7 15
2 15 0 1 0 0 0 3000 3 3 3 7
2 16 0 1 0 0 0 3000 2 5 5 3
2 17 1 1 1 0 0 548 1 3 3 5
2 18 0 0 0 0 1 613 3 7 7 3
2 19 1 0 0 1 0 3000 1 3 3 7
2 20 0 1 0 0 0 3000 3 11 11 3
2 21 0 0 0 0 1 572 2 11 11 11
2 22 0 1 0 0 0 3000 3 13 13 11
2 23 0 1 0 0 0 3000 2 12 12 13
2 24 0 1 0 0 0 3000 3 12 12 12
2 25 0 1 0 0 0 3000 3 4 4 12
3 1 0 1 0 0 0 3000 2 5 5 4
3 2 0 1 0 0 0 3000 1 9 9 5
3 3 1 1 1 0 0 404 1 5 5 9
3 4 1 1 1 0 0 340 1 9 9 5
3 5 0 1 0 0 0 3000 2 3 3 9
3 6 0 1 0 0 0 3000 3 13 13 3
3 7 0 1 0 0 0 3000 2 9 9 13
3 8 0 1 0 0 0 3000 3 3 3 9
3 9 1 1 1 0 0 334 1 9 9 3
3 10 0 1 0 0 0 3000 3 10 10 9
3 11 1 1 1 0 0 458 1 9 9 10
3 12 0 1 0 0 0 3000 2 12 12 9
3 13 1 1 1 0 0 300 1 9 9 12
3 14 0 1 0 0 0 3000 3 11 11 9
3 15 0 1 0 0 0 3000 3 2 2 11
3 16 0 1 0 0 0 3000 2 8 8 2
3 17 1 1 1 0 0 644 1 2 2 8
3 18 0 1 0 0 0 3000 2 15 15 2
3 19 0 1 0 0 0 3000 2 13 13 15
3 20 0 1 0 0 0 3000 3 6 6 13
3 21 0 1 0 0 0 3000 2 7 7 6
3 22 0 1 0 0 0 3000 3 15 15 7
3 23 1 1 1 0 0 534 1 7 7 15
3 24 0 1 0 0 0 3000 2 4 4 7
3 25 1 1 1 0 0 451 1 7 7 4
